Flight No,Sch dep dt with time,CAP,PAX,COS
103.0,2023-01-03 09:30:00,152.0,80.0,53.0
104.0,2023-01-03 12:00:00,152.0,91.0,60.0
109.0,2023-01-04 09:00:00,152.0,71.0,47.0
110.0,2023-01-04 11:15:00,152.0,53.0,35.0
105.0,2023-01-04 14:00:00,152.0,109.0,72.0
106.0,2023-01-04 15:40:00,152.0,142.0,93.0
103.0,2023-01-07 09:30:00,152.0,107.0,70.0
104.0,2023-01-07 12:00:00,152.0,125.0,82.0
105.0,2023-01-08 09:00:00,152.0,108.0,71.0
106.0,2023-01-08 10:40:00,152.0,114.0,75.0
103.0,2023-01-10 09:30:00,152.0,88.0,58.0
104.0,2023-01-10 12:00:00,152.0,91.0,60.0
109.0,2023-01-11 09:00:00,152.0,62.0,41.0
110.0,2023-01-11 11:15:00,152.0,54.0,36.0
105.0,2023-01-11 14:00:00,152.0,131.0,86.0
106.0,2023-01-11 15:40:00,152.0,99.0,65.0
103.0,2023-01-14 09:30:00,152.0,105.0,69.0
104.0,2023-01-14 12:00:00,152.0,131.0,86.0
105.0,2023-01-15 09:00:00,152.0,146.0,96.0
106.0,2023-01-15 10:40:00,152.0,111.0,73.0
103.0,2023-01-17 09:30:00,152.0,64.0,42.0
104.0,2023-01-17 12:00:00,152.0,72.0,47.0
109.0,2023-01-18 09:00:00,152.0,58.0,38.0
110.0,2023-01-18 11:15:00,152.0,64.0,42.0
105.0,2023-01-18 14:00:00,152.0,128.0,84.0
106.0,2023-01-18 15:40:00,152.0,108.0,71.0
103.0,2023-01-21 09:30:00,152.0,82.0,54.0
104.0,2023-01-21 12:00:00,152.0,119.0,78.0
105.0,2023-01-22 09:00:00,152.0,144.0,95.0
106.0,2023-01-22 10:40:00,152.0,129.0,85.0
103.0,2023-01-24 15:30:00,152.0,79.0,52.0
104.0,2023-01-24 18:00:00,152.0,66.0,43.0
109.0,2023-01-25 09:00:00,152.0,67.0,44.0
110.0,2023-01-25 11:15:00,152.0,116.0,76.0
105.0,2023-01-25 14:00:00,152.0,152.0,100.0
106.0,2023-01-25 15:40:00,152.0,112.0,74.0
103.0,2023-01-28 09:30:00,152.0,115.0,76.0
104.0,2023-01-28 12:00:00,152.0,137.0,90.0
105.0,2023-01-29 09:00:00,152.0,126.0,83.0
106.0,2023-01-29 10:40:00,152.0,150.0,99.0
103.0,2023-01-31 09:30:00,114.0,54.0,47.0
104.0,2023-01-31 12:00:00,114.0,70.0,61.0
,,,,
